eventID,occurrenceID,decimalLatitude,decimalLongitude,basisOfRecord,occurrenceStatus,scientificName,AphiaID,scientificNameID,habitat,sex
2020/256,2020/256_1,28.18226667,-82.833,LivingSpecimen,detected,Carcharhinus limbatus,105793,urn:lsid:marinespecies.org:taxname:105793,Seagrass,F
2020/257,2020/257_1,28.18283333,-82.83298333,LivingSpecimen,detected,Carcharhinus limbatus,105793,urn:lsid:marinespecies.org:taxname:105793,Seagrass,M
2020/258,2020/258_1,28.10265,-82.8301,LivingSpecimen,detected,Ginglymostoma cirratum,105846,urn:lsid:marinespecies.org:taxname:105846,Seagrass,M
2020/258,2020/258_2,28.1033,-82.83253333,LivingSpecimen,detected,Ginglymostoma cirratum,105846,urn:lsid:marinespecies.org:taxname:105846,Seagrass,M
2020/259,2020/259_1,28.07276667,-82.81966667,LivingSpecimen,detected,Hypanus say,1042865,urn:lsid:marinespecies.org:taxname:1042865,Seagrass,F
2020/259,2020/259_2,28.07276667,-82.81966667,LivingSpecimen,detected,Hypanus say,1042865,urn:lsid:marinespecies.org:taxname:1042865,Seagrass,F
2020/259,2020/259_3,28.07301667,-82.8191,LivingSpecimen,detected,Hypanus americanus,1042856,urn:lsid:marinespecies.org:taxname:1042856,Seagrass,F
2020/26,2020/26_1,28.10746667,-82.78153333,LivingSpecimen,detected,Hypanus say,1042865,urn:lsid:marinespecies.org:taxname:1042865,Seagrass,M
2020/260,2020/260_1,28.10208333,-82.80863333,LivingSpecimen,detected,Hypanus say,1042865,urn:lsid:marinespecies.org:taxname:1042865,Seagrass,F
2020/261,2020/261_1,28.10765,-82.78126667,LivingSpecimen,detected,Rhinoptera bonasus,158544,urn:lsid:marinespecies.org:taxname:158544,Seagrass,M
2020/262,2020/262_1,28.18225,-82.833,LivingSpecimen,detected,Rhizoprionodon terraenovae,158510,urn:lsid:marinespecies.org:taxname:158510,Seagrass,M
2020/263,2020/263_1,28.18291667,-82.83296667,LivingSpecimen,detected,Rhizoprionodon terraenovae,158510,urn:lsid:marinespecies.org:taxname:158510,Seagrass,M
2020/264,2020/264_1,28.18225,-82.83303333,LivingSpecimen,detected,Rhizoprionodon terraenovae,158510,urn:lsid:marinespecies.org:taxname:158510,Seagrass,M
2020/265,2020/265_1,28.18266667,-82.8332,LivingSpecimen,detected,Carcharhinus limbatus,105793,urn:lsid:marinespecies.org:taxname:105793,Seagrass,F
2020/266,2020/266_1,28.18266667,-82.8332,LivingSpecimen,detected,Carcharhinus limbatus,105793,urn:lsid:marinespecies.org:taxname:105793,Seagrass,F
2020/267,2020/267_1,28.1827,-82.8332,LivingSpecimen,detected,Carcharhinus limbatus,105793,urn:lsid:marinespecies.org:taxname:105793,Seagrass,F
2020/268,2020/268_1,28.19428333,-82.81671667,LivingSpecimen,detected,Carcharhinus limbatus,105793,urn:lsid:marinespecies.org:taxname:105793,Seagrass,M
2020/269,2020/269_1,28.19391667,-82.81725,LivingSpecimen,detected,Carcharhinus limbatus,105793,urn:lsid:marinespecies.org:taxname:105793,Seagrass,M
2020/27,2020/27_1,28.10756667,-82.78163333,LivingSpecimen,detected,Hypanus say,1042865,urn:lsid:marinespecies.org:taxname:1042865,Seagrass,M
2020/270,2020/270_1,28.18265,-82.8332,LivingSpecimen,detected,Hypanus americanus,1042856,urn:lsid:marinespecies.org:taxname:1042856,Seagrass,F
2020/271,2020/271_1,28.1826,-82.8332,LivingSpecimen,detected,Rhizoprionodon terraenovae,158510,urn:lsid:marinespecies.org:taxname:158510,Seagrass,M
2020/272,2020/272_1,28.18261667,-82.8332,LivingSpecimen,detected,Rhizoprionodon terraenovae,158510,urn:lsid:marinespecies.org:taxname:158510,Seagrass,M
2020/273,2020/273_1,28.19391667,-82.81725,LivingSpecimen,detected,Rhizoprionodon terraenovae,158510,urn:lsid:marinespecies.org:taxname:158510,Seagrass,M
2020/274,2020/274_1,28.18256667,-82.83325,LivingSpecimen,detected,Sphyrna tiburo,158517,urn:lsid:marinespecies.org:taxname:158517,Seagrass,F
2020/275,2020/275_1,28.07281667,-82.81973333,LivingSpecimen,detected,Hypanus americanus,1042856,urn:lsid:marinespecies.org:taxname:1042856,Seagrass,M
2020/276,2020/276_1,28.18238333,-82.83333333,LivingSpecimen,detected,Carcharhinus limbatus,105793,urn:lsid:marinespecies.org:taxname:105793,Seagrass,M
2020/277,2020/277_1,28.10805,-82.78116667,LivingSpecimen,detected,Hypanus americanus,1042856,urn:lsid:marinespecies.org:taxname:1042856,Seagrass,F
2020/277,2020/277_2,28.10805,-82.78116667,LivingSpecimen,detected,Hypanus americanus,1042856,urn:lsid:marinespecies.org:taxname:1042856,Seagrass,F
2020/278,2020/278_1,28.10811667,-82.7818,LivingSpecimen,detected,Hypanus americanus,1042856,urn:lsid:marinespecies.org:taxname:1042856,Seagrass,F
2020/279,2020/279_1,28.1825,-82.83165,LivingSpecimen,detected,Carcharhinus limbatus,105793,urn:lsid:marinespecies.org:taxname:105793,Seagrass,M
2020/28,2020/28_1,28.18073333,-82.83263333,LivingSpecimen,detected,Carcharhinus limbatus,105793,urn:lsid:marinespecies.org:taxname:105793,Seagrass,M
2020/280,2020/280_1,28.1825,-82.83165,LivingSpecimen,detected,Carcharhinus limbatus,105793,urn:lsid:marinespecies.org:taxname:105793,Seagrass,M
2020/281,2020/281_1,28.18248333,-82.83161667,LivingSpecimen,detected,Carcharhinus limbatus,105793,urn:lsid:marinespecies.org:taxname:105793,Seagrass,F
2020/282,2020/282_1,28.18248333,-82.83161667,LivingSpecimen,detected,Carcharhinus limbatus,105793,urn:lsid:marinespecies.org:taxname:105793,Seagrass,M
2020/283,2020/283_1,28.1037,-82.82531667,LivingSpecimen,detected,Carcharhinus acronotus,158508,urn:lsid:marinespecies.org:taxname:158508,Seagrass,F
2020/284,2020/284_1,28.10795,-82.7813,LivingSpecimen,detected,Hypanus americanus,1042856,urn:lsid:marinespecies.org:taxname:1042856,Seagrass,F
2020/285,2020/285_1,28.1078,-82.78125,LivingSpecimen,detected,Hypanus americanus,1042856,urn:lsid:marinespecies.org:taxname:1042856,Seagrass,M
2020/286,2020/286_1,28.10838333,-82.78091667,LivingSpecimen,detected,Rhinoptera bonasus,158544,urn:lsid:marinespecies.org:taxname:158544,Seagrass,M
2020/287,2020/287_1,28.10458333,-82.82585,LivingSpecimen,detected,Rhizoprionodon terraenovae,158510,urn:lsid:marinespecies.org:taxname:158510,Seagrass,M
2020/288,2020/288_1,28.1944,-82.81771667,LivingSpecimen,detected,Carcharhinus acronotus,158508,urn:lsid:marinespecies.org:taxname:158508,Seagrass,F
2020/289,2020/289_1,28.18248333,-82.83336667,LivingSpecimen,detected,Carcharhinus limbatus,105793,urn:lsid:marinespecies.org:taxname:105793,Seagrass,M
